Name,Link,Image_Link,Inner_Material,Outer_Material,Occasion,Color,Measurements,Price,Brand,id
"Sneakers For Men  (White, Black)",https://www.flipkart.com/rapidbox-sneakers-men/p/itm3cd2aed78b256?pid=SHOG6WUMQ5UWMHSX&lid=LSTSHOG6WUMQ5UWMHSXP2EJYC&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_22&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=en_OopLRPlo1PiKMOg2ZnbCGV_MSuqyqLTES5qcSKdexUeOrT-bCoXf8uI_-oQ2h3CDTA4GmykGfsGUbeDk_VFX_g%3D%3D&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/1/y/g/11-atm03-2004-11-rapidbox-white-black-original-imagpzr86pysecg3.jpeg?q=70,EVA or Rubber,Synthetic,Casual,"White, Black","[['6', '7', '8', '9', '10', '11']]",699,RapidBox,19
Running Sports Latest Stylish Casual Lace up lightweight black walking gym Casuals For Men  (Black),https://www.flipkart.com/nobelite-running-sports-latest-stylish-casual-lace-up-lightweight-black-walking-gym-casuals-men/p/itm1d9d29e13ff98?pid=SHOG447QVFXQNCGV&lid=LSTSHOG447QVFXQNCGVJVW24W&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_39&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOG447QVFXQNCGV.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-shoe/w/8/9/8-21212-nobelite-black-original-imagj5wbvszbetnz.jpeg?q=70,"Fabric, Mesh",Mesh,Casual,Black,"[['5', '6', '7', '8', '9', '10']]",249,Nobelite,20
"Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Sneakers For Men  (White, Black, Red)",https://www.flipkart.com/aadi-synthetic-leather-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-sneakers-men/p/itma442bf9226209?pid=SHOGDZZENAJYR87Z&lid=LSTSHOGDZZENAJYR87ZVP3RIY&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&spotlightTagId=BestsellerId_osp%2Fcil%2Fe1f&srno=b_1_3&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGDZZENAJYR87Z.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/l51d30w0/shoe/z/w/c/10-mrj1914-10-aadi-white-black-red-original-imagft9k9hydnfjp.jpeg?q=70,Comfort Foam,Synthetic Leather,Casual,"White, Black, Red","[['2', '3', '4', '5', '6', '7', '8', '9', '10']]",239,aadi,21
Pure Leather Mojari for Men Mojaris For Men  (Black),https://www.flipkart.com/sanghuji-pure-leather-mojari-men-mojaris/p/itm269b5f522c183?pid=SHOGYAFKFS7KJRRY&lid=LSTSHOGYAFKFS7KJRRYZZNWSP&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&spotlightTagId=BestsellerId_osp%2Fcil%2Fssd&srno=b_1_26&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=a110ffd0-6086-46b3-9d7a-262a0ce10e0c.SHOGYAFKFS7KJRRY.SEARCH&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/z/l/i/-original-imagg4zm6hygbby2.jpeg?q=70,,Leather,Ethnic,Black,"[['5', '6', '7', '8', '9', '10', '11']]",299,Sanghuji,22
Cool Rajasthani Jutis For Men Mojaris For Men Nagra For Men Casuals For Men  (Green),https://www.flipkart.com/vellinto-cool-rajasthani-jutis-men-mojaris-nagra-casuals/p/itmd9461f0139913?pid=SHOG965A2CPJWZZH&lid=LSTSHOG965A2CPJWZZHVUM7GS&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&srno=b_1_34&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=a110ffd0-6086-46b3-9d7a-262a0ce10e0c.SHOG965A2CPJWZZH.SEARCH&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/g/4/q/8-art-ca159-vellinto-green-original-imag9658wampzpkm-bb.jpeg?q=70,Synthetic Leather,Leather,Ethnic,Green,"[['6', '7', '8', '9', '10']]",499,Vellinto,23
Sneakers For Men  (Black),https://www.flipkart.com/nobelite-sneakers-men/p/itm2bfffcbd4f916?pid=SHOGNFTTYH2FPCSY&lid=LSTSHOGNFTTYH2FPCSYZYTWYA&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_25&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGNFTTYH2FPCSY.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/e/g/5/10-23151-nobelite-black-original-imagnftskjgmxsvn.jpeg?q=70,,"Synthetic Leather, Mesh",Casual,Black,"[['6', '7', '8', '9', '10']]",299,Nobelite,24
Oricum Lightweight Casual Shoes with High Quality Sole pack of 2 Sneakers For Men  (Multicolor),https://www.flipkart.com/oricum-lightweight-casual-shoes-high-quality-sole-pack-2-sneakers-men/p/itm3199d25b89143?pid=SHOGQTKYAEGVBQWH&lid=LSTSHOGQTKYAEGVBQWHBI8GQI&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_35&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGQTKYAEGVBQWH.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/o/g/z/10-combo-pii-3036-3101-oricum-multicolor-original-imagqtkx3zqgqhn2.jpeg?q=70,,Canvas,Casual,Multicolor,"[['6', '7', '8', '9', '10']]",763,ORICUM,25
NORTH PLUS Running Shoes For Men  (Black),https://www.flipkart.com/campus-north-plus-running-shoes-men/p/itm9d9e69443d521?pid=SHOFY4DPK4QZZEKT&lid=LSTSHOFY4DPK4QZZEKTYCTPP5&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_24&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BSports%2BShoes_7M0KJVL57137&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=f9d7c48a-5dd6-466b-b5f9-91227e09234c.SHOFY4DPK4QZZEKT.SEARCH&ppt=None&ppn=None&ssid=hd74iubgkw0000001691640168245,https://rukminim2.flixcart.com/image/832/832/l5fnhjk0/shoe/b/6/l/11-11g-677-11-campus-blk-red-original-imagg43sv7xwwdb4.jpeg?q=70,Memory Foam,Mesh,Sports,Black,"[['6', '7', '8', '9', '10', '11', '12']]",1299,CAMPUS,26
"Traditional Punjabi Ethnic Shoes Nagra,Jalsa Mojaris,Khussa Jutis For Men  (Black)",https://www.flipkart.com/catbird-traditional-punjabi-ethnic-shoes-nagra-jalsa-mojaris-khussa-jutis-men/p/itm6c1a36298dc94?pid=SHOFFZV6SYEKRHSH&lid=LSTSHOFFZV6SYEKRHSHZWZTTO&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&srno=b_1_20&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=a110ffd0-6086-46b3-9d7a-262a0ce10e0c.SHOFFZV6SYEKRHSH.SEARCH&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/b/6/a/9-jalsa-laser-0023-men-9-catbird-black-4-original-imagqyzrhyy4dxyp.jpeg?q=70,sheet sole,Synthetic Leather,Ethnic,Black,"[['5', '6', '7', '9', '10']]",549,CATBIRD,27
"Trendy Sports Running Running Shoes For Men  (Orange, Grey)",https://www.flipkart.com/bruton-trendy-sports-running-shoes-men/p/itm6036f913ec47f?pid=SHOGFPAZSUAMGMKG&lid=LSTSHOGFPAZSUAMGMKGVL5RMH&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_3&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BSports%2BShoes_7M0KJVL57137&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=f9d7c48a-5dd6-466b-b5f9-91227e09234c.SHOGFPAZSUAMGMKG.SEARCH&ppt=None&ppn=None&ssid=hd74iubgkw0000001691640168245,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/1/8/p/-original-imaghvb7kkpy73vn.jpeg?q=70,,Mesh,Sports,"Orange, Grey","[['6', '7', '8', '9', '10']]",249,BRUTON,28
Cool Rajasthani Jutis For Men Mojaris For Men Nagra For Men Casuals For Men  (Brown),https://www.flipkart.com/vellinto-cool-rajasthani-jutis-men-mojaris-nagra-casuals/p/itmbdcebd10cce0e?pid=SHOFZZ3F7MRF3W8N&lid=LSTSHOFZZ3F7MRF3W8NDQ6ORF&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&spotlightTagId=TrendingId_osp%2Fcil%2Fssd&srno=b_1_10&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=a110ffd0-6086-46b3-9d7a-262a0ce10e0c.SHOFZZ3F7MRF3W8N.SEARCH&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/2/t/q/-original-imaghvb58yyphfns.jpeg?q=70,Synthetic Leather,Leather,Ethnic,Brown,"[['6', '7', '8', '9', '10']]",499,Vellinto,29
"Sports, Running & Comfortable Gym shoes for Men's Walking Shoes. Slip On Sneakers For Men  (Multicolor)",https://www.flipkart.com/tpent-sports-running-comfortable-gym-shoes-men-s-walking-shoes-slip-sneakers-men/p/itmf812562fa51c7?pid=SHOGEF44TBT8FCZT&lid=LSTSHOGEF44TBT8FCZTTBIGZV&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_34&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGEF44TBT8FCZT.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/l3rmzrk0/shoe/j/f/c/5-sports-125-5-tpent-navyblue-lightgrey-original-imagetfdupz6sygu.jpeg?q=70,Soft material,Fabric,Casual,Multicolor,"[['6', '7', '8', '9', '10']]",392,TPENT,30
"Trending Stylish Casual Outdoor Sneakers Shoes For Men Sneakers For Men  (White, Black)",https://www.flipkart.com/urbanbox-trending-stylish-casual-outdoor-sneakers-shoes-men/p/itm20f1e7caa80e8?pid=SHOGP8QUBFFHADGK&lid=LSTSHOGP8QUBFFHADGKZGIZO1&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_10&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGP8QUBFFHADGK.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/f/e/n/9-white-leaf-urbanbox-white-black-original-imagp8qhhpydntgx.jpeg?q=70,Canvas,Synthetic,Casual,"White, Black","[['6', '7', '8', '9', '10']]",299,URBANBOX,31
Sneakers For Men  (White),https://www.flipkart.com/layasa-sneakers-men/p/itm033899612ce4c?pid=SHOGHM99RVPZK7PZ&lid=LSTSHOGHM99RVPZK7PZZW8HCN&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_16&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGHM99RVPZK7PZ.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/z/w/b/6-la7458-6-layasa-white-original-imaghk9hwxbzejdw.jpeg?q=70,,Synthetic,Casual,White,"[['6', '7', '8', '9', '10']]",289,Layasa,32
"Delta-20 White Sports,Casual,Walking,Gym, Walking Shoes For Men  (White)",https://www.flipkart.com/asian-delta-20-white-sports-casual-walking-gym-walking-shoes-men/p/itmb15dc7c96eabe?pid=SHOGCU8EEQ7RYYVV&lid=LSTSHOGCU8EEQ7RYYVVSLVVCE&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_18&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BSports%2BShoes_7M0KJVL57137&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_uTM-L9CWex9JxsebXE4_xYE7esQIA8_xCnplGo8KKl3cjLwkxYdqqnDN62UXs8zSRmniHFKVbJRAAm39Y4FjcA%3D%3D&ppt=None&ppn=None&ssid=hd74iubgkw0000001691640168245,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/s/s/l/10-delta-20ncwhite-10-asian-white3-original-imags36fqheggf9v.jpeg?q=70,Soft breathable fabric lining which prevents sweating,Fabric,Sports,White,"[['6', '7', '8', '9', '10', '11', '12']]",899,asian,33
"Future-01 running shoes For Men  (Navy, White)",https://www.flipkart.com/asian-future-01-running-shoes-men/p/itmf3xv7anhcngg8?pid=SHOEEBH7YXXHKZSW&lid=LSTSHOEEBH7YXXHKZSWUX5ESD&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_37&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BSports%2BShoes_7M0KJVL57137&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_uTM-L9CWex9JxsebXE4_xYE7esQIA8_xCnplGo8KKl0xc-4J1DbNLj3mBcM07YRTpkDDQM6c34Us7SWqF2hnow%3D%3D&ppt=None&ppn=None&ssid=hd74iubgkw0000001691640168245,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/a/h/i/10-future-01-10-asian-white-original-imags9u63dzbrkgh.jpeg?q=70,,Mesh,Sports,"Navy, White","[['6', '7', '8', '9', '10', '11', '12']]",549,asian,34
Oricum Lightweight Casual Shoes with High Quality Sole pack of 2 Sneakers For Men  (Multicolor),https://www.flipkart.com/oricum-lightweight-casual-shoes-high-quality-sole-pack-2-sneakers-men/p/itme0f086df316f2?pid=SHOGQTJC65U6YHEX&lid=LSTSHOGQTJC65U6YHEXH1DLWT&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_14&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGQTJC65U6YHEX.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/k/8/e/7-combo-pii-1562-7033-swiggy-multicolor-original-imagqteehr66mgwa.jpeg?q=70,,Canvas,Casual,Multicolor,"[['6', '7', '8', '9', '10']]",682,ORICUM,35
Formal Pu Leather Loafer & Mocassins Shoe Jutis For Men  (Black),https://www.flipkart.com/erix-formal-pu-leather-loafer-mocassins-shoe-jutis-men/p/itm866ff5c8d05a1?pid=SHOFYYX3AYXXGFGP&lid=LSTSHOFYYX3AYXXGFGPYZBRJB&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&spotlightTagId=TrendingId_osp%2Fcil%2Fssd&srno=b_1_16&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=a110ffd0-6086-46b3-9d7a-262a0ce10e0c.SHOFYYX3AYXXGFGP.SEARCH&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/6/d/k/7-36ss-2020black-7-erix-black-original-imagefzgkgr8e3gn-bb.jpeg?q=70,Faux Leather,Synthetic,Ethnic,Black,"[['6', '7', '8', '9', '10']]",511,ERIX,36
Sneakers For Men  (Black),https://www.flipkart.com/atom-sneakers-men/p/itm74ce4c7c2d4b9?pid=SHOGHYV8GPF2HNEC&lid=LSTSHOGHYV8GPF2HNECKHMMST&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_32&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=en_OopLRPlo1PiKMOg2ZnbCGV_MSuqyqLTES5qcSKdexUfg6ypVzPkkmSMHISOouz7dVe-6n18rUHThOVLpsiCapA%3D%3D&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/l/t/l/8-rkt-19039-black-42-atom-black-original-imagzmhf7d8fgd38.jpeg?q=70,EVA,Mesh,Casual,Black,"[['6', '7', '8', '9', '10', '11']]",1389,ATOM,37
