Name,modelName,Link,Image_Link,Occasion,Color,Price,Brand
"Brass, Stainless Steel Silver Silver, Black Jewel Set  (Pack of 1)",,https://www.flipkart.com/lila-brass-stainless-steel-silver-silver-black-jewellery-set/p/itm519ca121c5ee7?pid=JWSG2XK2NWEVBYTX&lid=LSTJWSG2XK2NWEVBYTXVENLNC&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=en_jdfAgEREFPf4rk5CBrIY6chRtsT6Llp4VLrVLbID7KAKeFGU0SKWxWdXfGwHp9pIX4fYSxxnz5xHrva4eNpcCg%3D%3D&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/kohigsw0/jewellery-set/e/i/e/combo-lock-key-bracelet-chain-with-couple-rings-size-20-lila-original-imag2xk2byey9gjr.jpeg?q=70,Everyday,"Silver, Black",405,Lila 
Brass Gold-plated Pink Jewel Set  (Pack of 1),,https://www.flipkart.com/brado-jewellery-brass-gold-plated-pink-set/p/itm0a588259ce9f5?pid=JWSGQH7XHWEU2XYU&lid=LSTJWSGQH7XHWEU2XYUE3KP5A&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGQH7XHWEU2XYU.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/g/u/g/d-cultured-1-jalak-gold-pink-brado-jewellery-original-imagqh7xdeydwghp.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement",Pink,159,brado jewellery 
"Brass Gold-plated Gold, Pink Jewel Set  (Pack of 1)",,https://www.flipkart.com/brado-jewellery-brass-gold-plated-gold-pink-set/p/itmf74491f3558cc?pid=JWSGJ9GBUVQZZZ3Y&lid=LSTJWSGJ9GBUVQZZZ3Y0A9BMM&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&spotlightTagId=BestsellerId_mcr%2F96v%2Fyx2&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGJ9GBUVQZZZ3Y.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/n/v/d/-original-imagqg3aaqg2rhz6.jpeg?q=70,"Love, Wedding & Engagement, Workwear","Gold, Pink",169,brado jewellery 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/brado-jewellery-brass-gold-plated-gold-set/p/itm5eeaf4ebce130?pid=JWSGMJ7Q8HRA7YGG&lid=LSTJWSGMJ7Q8HRA7YGGYIPCJ2&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGMJ7Q8HRA7YGG.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/1/c/m/na-na-rofu-madurai-brado-jewellery-original-imagmj7mmuuc9vea.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement, Workwear",Gold,199,brado jewellery 
Brass Gold-plated Pink Jewel Set  (Pack of 2),,https://www.flipkart.com/brado-jewellery-brass-gold-plated-pink-set/p/itmd53c8618f5cc3?pid=JWSGQH9YHAZYPB9X&lid=LSTJWSGQH9YHAZYPB9XJWFHXL&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGQH9YHAZYPB9X.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/k/b/1/d-cultured-2-0-combo-ats-pink-ashopalav-brado-jewellery-original-imagqh9ymbzwkmjq.jpeg?q=70,"Love, Wedding & Engagement, Religious",Pink,269,brado jewellery 
Copper Silver Silver Jewel Set  (Pack of 1),,https://www.flipkart.com/sehbhagi-copper-silver-jewellery-set/p/itm1ce37e6c90018?pid=JWSGS4GJYCHW3KXH&lid=LSTJWSGS4GJYCHW3KXHFK22KP&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGS4GJYCHW3KXH.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/u/e/5/na-na-1-ma-ja-ra-1238-sehbhagi-original-imags4gjsvmsgzmy.jpeg?q=70,Wedding & Engagement,Silver,299,Sehbhagi 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/brado-jewellery-brass-gold-plated-gold-set/p/itm9a2912bb8dbd0?pid=JWSGAHGG2NJFWHCM&lid=LSTJWSGAHGG2NJFWHCMNF9FLE&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&spotlightTagId=BestsellerId_mcr%2F96v%2Fyx2&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGAHGG2NJFWHCM.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/5/r/o/cultured-na-combo-of-5-mangalsutra-for-women-and-girls-brass-original-imagahggvcgzftez.jpeg?q=70,"Wedding & Engagement, Religious, Love, Everyday, Workwear",Gold,239,brado jewellery 
"Brass, Copper Gold-plated Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/rofarword-brass-copper-gold-plated-gold-jewellery-set/p/itmfcf5090fc929d?pid=JWSGK8YNBYZX2HBT&lid=LSTJWSGK8YNBYZX2HBTPSM2AM&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGK8YNBYZX2HBT.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/s/u/p/na-na-matte-choker-101-influtive-original-imagkkvyrzefjg9a.jpeg?q=70,"Wedding & Engagement, Religious, Love",Gold,269,ROFARWORD 
"Mother of Pearl, Alloy Gold-plated Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/z-n-fashions-mother-pearl-alloy-gold-plated-gold-jewellery-set/p/itmac9be831d6eb4?pid=JWSG8ZJ4P8U3KJGS&lid=LSTJWSG8ZJ4P8U3KJGSDNKECH&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSG8ZJ4P8U3KJGS.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/3/2/1/-original-imagqg5tuzgvdwzg.jpeg?q=70,"Love, Wedding & Engagement",Gold,199,z.n. fashions 
"Copper Gold-plated Green, Gold Jewel Set  (Pack of 7)",,https://www.flipkart.com/bajrang-jewels-point-copper-gold-plated-green-gold-jewellery-set/p/itm16ad7380897ad?pid=JWSGR64BGW8HSBEQ&lid=LSTJWSGR64BGW8HSBEQ9RBFWB&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGR64BGW8HSBEQ.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/c/y/b/na-na-001-green-aaiji-creation-original-imagk5xa3eqytedh.jpeg?q=70,"Religious, Wedding & Engagement, Love","Green, Gold",1696,Bajrang Jewels point 
Copper Gold-plated Gold Jewel Set  (Pack of 2),,https://www.flipkart.com/keymax-copper-gold-plated-gold-jewellery-set/p/itmeeba55c0623b1?pid=JWSGGVTGGAH9FZXM&lid=LSTJWSGGVTGGAH9FZXMZ5TVHD&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGGVTGGAH9FZXM.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/d/n/6/na-na-neck-40n-fallalery-original-imaggtnmrvbmvqgd.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement, Workwear",Gold,321,KEYMAX 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/goldeighteen-brass-gold-plated-gold-jewellery-set/p/itm8dd46170d8ad3?pid=JWSGMRVFRJPTZHZ8&lid=LSTJWSGMRVFRJPTZHZ8AGZ9DR&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGMRVFRJPTZHZ8.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/s/x/b/na-plastic-1-180137-goldeighteen-original-imagmrvf8mzzqbms.jpeg?q=70,"Love, Religious, Workwear",Gold,225,GOLDEIGHTEEN 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/primectrla-fab-brass-gold-plated-gold-jewellery-set/p/itmfcedcc82efedd?pid=JWSGSYXBXYQWGDYB&lid=LSTJWSGSYXBXYQWGDYBQZQWHU&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGSYXBXYQWGDYB.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/x/w/x/south-sea-na-1-0065-primectrla-fab-original-imagsywsv4nkeagc.jpeg?q=70,"Love, Wedding & Engagement",Gold,3400,Primectrla Fab 
Alloy Rhodium White Jewel Set  (Pack of 1),,https://www.flipkart.com/rhymee-alloy-rhodium-white-jewellery-set/p/itme74ecc83e32e4?pid=JWSGGTUSRYTGWSGX&lid=LSTJWSGGTUSRYTGWSGXZPRONL&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGGTUSRYTGWSGX.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/kqco5u80/jewellery-set/g/c/h/780-r-a-enterprises-original-imag4dyzceaqhkhp.jpeg?q=70,Wedding & Engagement,White,249,Rhymee 
"Brass Brass, Gold-plated Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/asmitta-jewellery-brass-brass-gold-plated-gold-set/p/itm006b7fd52a6b0?pid=JWSFGH5KZ2GAHPFM&lid=LSTJWSFGH5KZ2GAHPFMGRXYXZ&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSFGH5KZ2GAHPFM.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/l2f20sw0/jewellery-set/t/u/r/na-na-ns725kjgldsb0-asmitta-jewellery-original-imagdrzyhssug9nr.jpeg?q=70,"Religious, Wedding & Engagement, Everyday, Workwear, Love",Gold,199,ASMITTA Jewellery 
Brass Gold-plated Black Jewel Set  (Pack of 1),,https://www.flipkart.com/brado-jewellery-brass-gold-plated-black-set/p/itm50b6261d9cdc2?pid=JWSGH5HUFD5KFACE&lid=LSTJWSGH5HUFD5KFACEHHZNUA&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGH5HUFD5KFACE.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/f/g/m/ef-na-2-black-color-ats-brado-jewellery-original-imagp8vv6fthwg4q.jpeg?q=70,"Everyday, Love, Religious, Wedding & Engagement, Workwear",Black,179,brado jewellery 
Alloy Gold-plated Gold Jewel Set  (Pack of 4),,https://www.flipkart.com/sukkhi-alloy-gold-plated-gold-jewellery-set/p/itmec1a0f5384b87?pid=JWSG8STEREUJVNUE&lid=LSTJWSG8STEREUJVNUE44O30J&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSG8STEREUJVNUE.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/kw104nk0/jewellery-set/v/x/2/na-na-skr85848-sukkhi-original-imag8stey8gyygvg.jpeg?q=70,Wedding & Engagement,Gold,349,Sukkhi 
"Brass, Alloy Gold-plated, Brass Gold Jewel Set  (Pack of 1)",,https://www.flipkart.com/tonolika-jewellery-brass-alloy-gold-plated-brass-gold-set/p/itmc0872eb6f06c9?pid=JWSGPVD2STXQTHZU&lid=LSTJWSGPVD2STXQTHZUNRYJYE&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&spotlightTagId=TrendingId_mcr%2F96v%2Fyx2&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGPVD2STXQTHZU.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/q/p/p/na-na-1-y-42-ruzee-original-imagqfs3qejryf5d.jpeg?q=70,"Wedding & Engagement, Love, Religious, Everyday",Gold,177,TONOLIKA JEWELLERY 
Brass Gold-plated Gold Jewel Set  (Pack of 1),,https://www.flipkart.com/primectrla-fab-brass-gold-plated-gold-jewellery-set/p/itm15ada4e9e062e?pid=JWSGSYT9RNK6GMEG&lid=LSTJWSGSYT9RNK6GMEGDSLKZO&marketplace=FLIPKART&q=jewellery+for+women&store=mcr%2F96v%2Fyx2&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&fm=organic&iid=36ffec02-e82e-488d-96fd-949b56a51bc1.JWSGSYT9RNK6GMEG.SEARCH&ppt=None&ppn=None&ssid=aekr68q4c00000001692532761881&qH=ce533df150a10b44,https://rukminim2.flixcart.com/image/832/832/xif0q/jewellery-set/h/f/e/south-sea-na-1-0063-primectrlafab-original-imagsyt9hjxgumfb.jpeg?q=70,"Love, Wedding & Engagement",Gold,3800,Primectrla Fab 
