Name,Link,Image_Link,Length,Color,Type,Price,Brand,SuitableFor,Neck,Pattern,clothType,id
Women Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/swaron-women-solid-formal-pink-shirt/p/itm23a71f50e4b22?pid=SHTGMY4GMG9H7ZQK&lid=LSTSHTGMY4GMG9H7ZQKFX4TLX&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.SHTGMY4GMG9H7ZQK.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/e/f/x/s-363tk7061j-swaron-original-imagmy4e4dvhxbae.jpeg?q=70,,Pink,,469,Swaron ,Western Wear,,Solid,formal,1
Women Regular Fit Solid Spread Collar Formal Shirt  (Pack of 2),https://www.flipkart.com/selvia-women-solid-formal-white-pink-shirt/p/itm2075a73af9f0f?pid=SHTGHMYVRTHXH2RK&lid=LSTSHTGHMYVRTHXH2RKLYQDZN&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.SHTGHMYVRTHXH2RK.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/b/p/n/l-329tk256-329tk259-selvia-original-imaghmytwj7wqzqk.jpeg?q=70,,"White, Pink",,699,Selvia ,Western Wear,,Solid,formal,2
Casual Cape Sleeves Striped Women Blue Top,https://www.flipkart.com/hsr-casual-striped-women-blue-top/p/itmd0e76c187b0fb?pid=TOPGNYXZAGZPFE8K&lid=LSTTOPGNYXZAGZPFE8K0QOIMS&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_26&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGNYXZAGZPFE8K.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/f/e/g/free-college-girl-multi-color-short-sleeve-tops-crew-neck-casual-original-imagnyxmgy5dgfbg.jpeg?q=70,,Blue,Boyfriend Top,487,HSR ,,Round Neck,Striped,casual,3
Women Printed Round Neck Pure Cotton Black T-Shirt,https://www.flipkart.com/rodzen-printed-women-round-neck-black-t-shirt/p/itm2883d64f6a14b?pid=TSHGMPUBJG95DDMC&lid=LSTTSHGMPUBJG95DDMCU0WQAR&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_34&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TSHGMPUBJG95DDMC.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/1600/1600/xif0q/t-shirt/a/0/w/xl-rzw01blackprint-rodzen-original-imagmptnzzgha3w3.jpeg?q=70,,,Round Neck,354,RodZen ,Western Wear,,Printed,casual,4
Women Regular Fit Solid Button Down Collar Formal Shirt  (Pack of 2),https://www.flipkart.com/gm-sara-women-solid-formal-maroon-shirt/p/itm2afa8cdc439bc?pid=SHTGS29YEB2WC8KP&lid=LSTSHTGS29YEB2WC8KPBJAYQG&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.SHTGS29YEB2WC8KP.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/k/n/n/xl-women-shirt-02-combo-blue-wine-gm-sara-original-imags29ydfyznpub.jpeg?q=70,,Maroon,,499,GM SARA ,Western Wear,,Solid,formal,5
Women Regular Fit Solid Curved Collar Formal Shirt,https://www.flipkart.com/romano-nx-women-solid-formal-white-shirt/p/itm2ae31b7e4cad9?pid=SHTGRNSPHUGUKYQY&lid=LSTSHTGRNSPHUGUKYQY4OJBFU&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_sDuQMMExtyloJR53DEsS0Jp5qzjw9MMQnFccCv8-OMt29hZmWbMRwLX4d3_mh39qH2hASfwzRFKDasmAmk3jzg%3D%3D&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/t/p/s/s-w-white-shirt-tf-romano-nx-original-imagrnshydxzn9bg.jpeg?q=70,,White,,595,Romano nx ,Western Wear,,Solid,formal,6
Women NA Fit Striped Formal Shirt,https://www.flipkart.com/devam-impex-women-striped-formal-red-white-blue-shirt/p/itm0435cf1019c48?pid=SHTGENYGNM9DQVGW&lid=LSTSHTGENYGNM9DQVGWM6I20S&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.SHTGENYGNM9DQVGW.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/l3j2cnk0/shirt/r/s/f/xl-w-blue-nd-red-line-shirt-devam-impex-original-imagenyg3jcshn4g.jpeg?q=70,,"Red, White, Blue",,370,DEVAM IMPEX ,Western Wear,,Striped,formal,7
Women Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/v-mart-women-solid-casual-pink-shirt/p/itm0e3bdcfa1ccbb?pid=SHTGZBE7SEAE6GNM&lid=LSTSHTGZBE7SEAE6GNM4JLPDU&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_32&otracker=browse&fm=organic&iid=en_RxdkU8V5L7HlA-YCzogGl4Z_CemfRXlC1KjUHfB_v8xDp95lLk_Ueg3whYeW4gRqe7lXnEvp18COjUn13muchA%3D%3D&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/e/i/a/s-445706-v-mart-original-imagzbe7ygwxggup.jpeg?q=70,,Pink,,259,V-MART ,Western Wear,,Solid,casual,8
Casual Regular Sleeves Printed Women Yellow Top,https://www.flipkart.com/sheetal-associates-casual-printed-women-yellow-top/p/itmbfeaf3ffbf988?pid=TOPGZZYWXNNPAR7E&lid=LSTTOPGZZYWXNNPAR7EJACHO9&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_29&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGZZYWXNNPAR7E.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/l/3/b/xxl-4465-sheetal-associates-original-imagzzywyuzkadwh.jpeg?q=70,Crop,Yellow,Regular Top,265,Sheetal Associates ,,Sweetheart Neck,Printed,casual,9
"Women Printed, Typography Round Neck Cotton Blend Yellow T-Shirt",https://www.flipkart.com/culpi-printed-typography-women-round-neck-yellow-t-shirt/p/itmce9612c795645?pid=TSHGRPY9GTJ9XFG9&lid=LSTTSHGRPY9GTJ9XFG9CQEZFL&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_11&otracker=browse&fm=organic&iid=en_RxdkU8V5L7HlA-YCzogGl4Z_CemfRXlC1KjUHfB_v8xR5IXGc1UHzbFV4GTmW7i9BkRYN7HcfwaJOE6NdyjgHw%3D%3D&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/v/g/x/xxl-cul000109-culpi-original-imagrpxvzhnmfdxz.jpeg?q=70,,,Round Neck,389,CULPI ,Western Wear,,"Printed, Typography",casual,10
Women Solid Round Neck Polyester Black T-Shirt,https://www.flipkart.com/hrx-hrithik-roshan-solid-women-round-neck-black-t-shirt/p/itm1bff07747ffb4?pid=TSHFPNK5EN3WJDFB&lid=LSTTSHFPNK5EN3WJDFBEVCKJH&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_37&otracker=browse&fm=organic&iid=en_RxdkU8V5L7HlA-YCzogGl4Z_CemfRXlC1KjUHfB_v8y7LWqAPP1M4VQoAELwaSaxzN0xVTei3XXA5jqruww2Wg%3D%3D&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/k7hy07k0/t-shirt/b/6/s/s-10565642-hrx-by-hrithik-roshan-original-imafppcrrxugrgvp.jpeg?q=70,,,Round Neck,359,HRX by Hrithik Roshan ,Western Wear,,Solid,casual,11
Women Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/style-quotient-women-solid-formal-light-blue-shirt/p/itmbd653cecf79c4?pid=SHTGZQZGPXHTSXPG&lid=LSTSHTGZQZGPXHTSXPGMBC3AW&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.SHTGZQZGPXHTSXPG.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/400/400/cms-product/bbf8d309f06e47839c5211c4c116dfd3_164b7001f47_ShirtCropped.jpg.jpeg?q=50,,Light Blue,,729,Style Quotient ,Western Wear,,Solid,formal,12
Women Printed Round Neck Poly Cotton Purple T-Shirt,https://www.flipkart.com/pockman-printed-women-round-neck-purple-t-shirt/p/itm139b028b19989?pid=TSHGHMYY5CBMPQZX&lid=LSTTSHGHMYY5CBMPQZXFQGLEA&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_36&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TSHGHMYY5CBMPQZX.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/c/7/p/m-oversize-t-shirt-print-pockman-original-imaghmyyetpk9vne.jpeg?q=70,,,Round Neck,230,PockMAN ,Western Wear,,Printed,casual,13
Women Regular Fit Solid Spread Collar Formal Shirt,https://www.flipkart.com/retrobella-women-solid-formal-white-shirt/p/itm891e3ee248fe0?pid=SHTGG7KWBGCVXKHA&lid=LSTSHTGG7KWBGCVXKHACOIWC1&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.SHTGG7KWBGCVXKHA.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/p/y/1/xl-style-917-stylebella-original-imaghvefupurcwnh.jpeg?q=70,,White,,398,retrobella ,Western Wear,,Solid,formal,14
Casual Regular Sleeves Solid Women Brown Top,https://www.flipkart.com/style-prezone-casual-solid-women-brown-top/p/itm44555d05dc95f?pid=TOPGH9P8KKFHJNUG&lid=LSTTOPGH9P8KKFHJNUGW1TRZO&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_5&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGH9P8KKFHJNUG.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/u/k/4/m-coller-tops-style-prezone-original-imagjuvvhzxhmf4y.jpeg?q=70,Hip Length,Brown,Shirt Style,185,STYLE PREZONE ,,Collared,Solid,casual,15
Casual Puff Sleeves Solid Women Black Top,https://www.flipkart.com/sheetal-associates-casual-solid-women-black-top/p/itmd0def0cccb33c?pid=TOPGPNG5WHGUKUPY&lid=LSTTOPGPNG5WHGUKUPYEGLVFP&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_16&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGPNG5WHGUKUPY.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/c/q/q/l-4521-sheetal-associates-original-imagpng5z9nbfryk.jpeg?q=70,Hip Length,Black,Regular Top,265,Sheetal Associates ,,V-Neck,Solid,casual,16
Casual Regular Sleeves Printed Women Black Top,https://www.flipkart.com/sheetal-associates-casual-printed-women-black-top/p/itm169db4ff6b867?pid=TOPGM5ZU6ZX8Q4GF&lid=LSTTOPGM5ZU6ZX8Q4GF4GITTW&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_23&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGM5ZU6ZX8Q4GF.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/j/b/w/xxl-4307-sheetal-associates-original-imagm5zufzzwkdfb.jpeg?q=70,Hip Length,Black,Regular Top,265,Sheetal Associates ,,Square Neck,Printed,casual,17
Women Printed Round Neck Pure Cotton White T-Shirt,https://www.flipkart.com/juneberry-printed-women-round-neck-white-t-shirt/p/itmaa4ad69e77053?pid=TSHG5GT5FMNHESSH&lid=LSTTSHG5GT5FMNHESSHBNHWSQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_40&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TSHG5GT5FMNHESSH.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/krtjgcw0/top/o/c/0/s-tsh-cartoon-wht-juneberry-original-imag5gqyp4xbsty4.jpeg?q=70,,,Round Neck,299,JUNEBERRY ,Western Wear,,Printed,casual,18
Women Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/funday-fashion-women-solid-casual-black-shirt/p/itm3ce805ff67fed?pid=SHTFCXYZAVNGV3FF&lid=LSTSHTFCXYZAVNGV3FFEGWDNR&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_9&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.SHTFCXYZAVNGV3FF.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/kflftzk0hlty2aw-0/shirt/m/8/j/s-1-sys-4001-funday-fashion-original-imafw7ks3kkvqzpy.jpeg?q=70,,Black,,299,FUNDAY FASHION ,Western Wear,,Solid,casual,19
